name,Year,Series,Value,Source
Panama,2020,Population aged 0 to 14 years old (percentage),26.7,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Panama,2020,Population aged 60+ years old (percentage),12.1,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Panama,2020,Population density,57.9,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Panama,2020,Surface area (thousand km2),75,"United Nations Statistics Division, New York, ""Demographic Yearbook 2020"" and the demographic statistics database, last accessed June 2022."
Panama,2022,Population mid-year estimates (millions),4.41,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Panama,2022,Population mid-year estimates for males (millions),2.20,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Panama,2022,Population mid-year estimates for females (millions),2.20,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Panama,2022,Sex ratio (males per 100 females),100.0,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Panama,2022,Population aged 0 to 14 years old (percentage),26.1,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Panama,2022,Population aged 60+ years old (percentage),12.7,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Panama,2022,Population density,59.4,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Papua New Guinea,2010,Population mid-year estimates (millions),7.58,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Papua New Guinea,2010,Population mid-year estimates for males (millions),3.95,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Papua New Guinea,2010,Population mid-year estimates for females (millions),3.64,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Papua New Guinea,2010,Sex ratio (males per 100 females),108.6,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Papua New Guinea,2010,Population aged 0 to 14 years old (percentage),37.9,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Papua New Guinea,2010,Population aged 60+ years old (percentage),4.3,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Papua New Guinea,2010,Population density,16.7,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Papua New Guinea,2015,Population mid-year estimates (millions),8.68,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Papua New Guinea,2015,Population mid-year estimates for males (millions),4.51,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Papua New Guinea,2015,Population mid-year estimates for females (millions),4.18,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision, last accessed July 2022."
Papua New Guinea,2015,Sex ratio (males per 100 females),107.9,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Papua New Guinea,2015,Population aged 0 to 14 years old (percentage),36.5,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
Papua New Guinea,2015,Population aged 60+ years old (percentage),4.6,"United Nations Population Division, New York, World Population Prospects: The 2022 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2020 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2022."
